,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners,classe_nbRequest,classe_responsesSize,classe_domSize,classe_largestContentfulPaint,classe_cumulativeLayoutShift,classe_firstContentfulPaint,classe_speedIndex,classe_totalBlockingTime,classe_interactive,RandomNumber
26,50,75,0,0,100,0,0,100,35,0,100,100,0,100,0,100,100,0,100,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,62.0
27,100,75,75,100,100,100,50,100,100,0,100,100,100,100,0,100,100,100,100,100,100,53.0,75.0,100,0,0,0,0,0,100.0,65.0,100.0,100.0,100.0,48.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,0,0,0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,56.0
28,100,75,0,0,100,0,0,100,35,0,100,0,35,100,0,100,35,50,0,100,0,91.0,96.0,0,100,0,0,0,0,100.0,2.0,94.0,100.0,94.0,70.0,45.0,8.0,100.0,100.0,100.0,100.0,100.0,100,0,0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,97.0
29,100,75,35,100,100,0,0,100,35,0,100,100,75,100,0,100,100,75,0,100,100,19.0,43.0,100,0,0,0,0,0,95.0,8.0,87.0,74.0,74.0,20.0,100.0,87.0,87.0,100.0,100.0,100.0,100.0,100,0,0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,49.0
30,75,75,0,35,100,75,0,100,35,0,100,0,75,100,0,100,20,0,0,100,100,100.0,100.0,100,100,0,0,0,0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0
31,0,75,65,20,100,75,20,50,50,0,100,0,0,100,0,100,65,0,100,100,100,0.0,3.0,0,0,0,0,0,0,90.0,33.0,100.0,80.0,70.0,24.0,100.0,100.0,100.0,77.0,100.0,80.0,69.0,100,0,0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,58.0
32,0,75,0,35,100,0,0,50,20,0,100,35,0,100,0,100,100,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,89.0
33,0,0,50,0,100,0,0,100,50,0,100,0,100,100,0,100,35,0,100,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,34.0
34,0,0,0,0,100,75,0,50,35,0,100,0,100,100,0,100,20,0,100,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,66.0
35,0,75,0,0,100,50,0,0,20,0,100,0,0,100,0,35,0,0,0,100,100,1.0,7.000000000000001,0,100,0,100,0,0,86.0,27.0,100.0,100.0,100.0,41.0,88.0,88.0,100.0,100.0,100.0,100.0,100.0,0,0,100,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,76.0
36,0,0,35,0,100,75,50,100,75,50,100,0,35,100,0,100,100,0,100,0,100,100.0,100.0,100,0,0,100,0,0,100.0,16.0,100.0,100.0,100.0,100.0,88.0,57.99999999999999,88.0,67.0,100.0,100.0,100.0,100,0,100,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,43.0
37,75,75,0,0,100,0,0,0,35,0,100,20,0,100,0,35,35,0,0,100,0,0.0,4.0,0,0,0,0,0,0,86.0,0.0,0.0,0.0,39.0,0.0,100.0,0.0,45.0,0.0,100.0,98.0,0.0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,6.0
38,0,75,0,0,100,0,0,100,20,0,100,100,100,100,0,100,35,0,0,100,0,16.0,60.0,0,0,0,0,0,0,99.0,0.0,100.0,0.0,73.0,34.0,100.0,0.0,64.0,100.0,100.0,88.0,14.000000000000002,100,0,0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,76.0
39,0,20,20,0,100,100,50,100,20,0,100,0,100,100,0,100,65,50,0,100,100,100.0,100.0,0,100,0,100,0,0,100.0,17.0,100.0,100.0,87.0,33.0,100.0,50.0,18.0,100.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,32.0
40,0,75,0,20,100,75,0,0,20,0,100,0,75,100,0,100,0,0,0,100,100,0.0,0.0,0,0,0,100,0,0,14.000000000000002,16.0,49.0,87.0,47.0,0.0,0.0,0.0,100.0,100.0,100.0,74.0,0.0,100,0,0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,43.0
41,20,65,0,0,100,0,0,100,35,0,100,0,100,100,0,100,0,0,0,100,100,94.0,99.0,0,100,0,100,0,0,95.0,71.0,100.0,100.0,67.0,48.0,100.0,100.0,100.0,100.0,100.0,71.0,100.0,100,0,0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,82.0
42,0,0,35,0,100,0,0,50,35,0,100,0,0,100,0,100,0,0,0,100,100,15.0,44.0,100,0,0,100,0,0,25.0,3.0,42.0,100.0,49.0,26.0,100.0,27.0,100.0,100.0,100.0,100.0,78.0,100,0,0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,72.0
43,0,75,100,100,100,100,100,50,100,0,100,0,100,100,0,100,100,0,100,0,100,90.0,99.0,0,100,0,100,0,0,100.0,11.0,67.0,100.0,100.0,43.0,4.0,0.0,100.0,6.0,100.0,100.0,40.0,0,0,100,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,72.0
44,100,75,35,0,100,0,0,100,20,0,100,0,75,100,0,100,35,0,0,100,100,0.0,5.0,0,0,0,100,0,0,97.0,6.0,100.0,100.0,50.0,15.0,100.0,67.0,38.0,100.0,100.0,100.0,95.0,0,0,100,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,78.0
45,0,65,0,0,100,0,0,50,20,0,100,0,100,100,0,100,0,0,0,100,0,0.0,0.0,100,0,0,100,0,0,0.0,0.0,5.0,57.99999999999999,74.0,35.0,87.0,5.0,100.0,100.0,100.0,100.0,23.0,0,0,0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,71.0
46,50,75,0,0,100,0,0,100,0,0,100,0,0,100,0,35,0,0,0,100,100,36.0,64.0,0,100,0,0,0,0,47.0,25.0,100.0,88.0,78.0,38.0,64.0,35.0,56.99999999999999,54.0,100.0,100.0,99.0,100,0,0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,73.0
47,50,75,0,0,100,20,0,0,20,0,100,0,0,100,0,100,0,0,0,100,100,97.0,98.0,100,100,0,100,0,0,99.0,26.0,100.0,100.0,88.0,100.0,100.0,57.99999999999999,100.0,98.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,81.0
48,50,65,0,0,100,0,0,0,0,0,100,20,0,100,0,100,0,0,0,100,100,17.0,81.0,100,100,0,0,0,0,0.0,71.0,75.0,88.0,43.0,67.0,100.0,48.0,100.0,49.0,100.0,100.0,100.0,100,0,100,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,67.0
49,50,75,65,100,100,0,0,100,65,0,100,0,100,100,0,100,0,0,100,100,100,47.0,80.0,0,0,0,100,0,0,56.00000000000001,1.0,14.000000000000002,0.0,86.0,33.0,66.0,22.0,100.0,35.0,100.0,75.0,92.0,100,0,100,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,44.0
50,0,75,0,100,100,0,0,100,0,0,100,0,100,0,0,100,0,0,0,100,0,22.0,49.0,100,0,0,0,0,0,66.0,30.0,32.0,40.0,100.0,0.0,100.0,87.0,100.0,100.0,100.0,87.0,74.0,100,0,100,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
51,0,0,100,100,100,100,100,50,100,0,100,0,75,100,0,100,100,0,100,0,100,99.0,100.0,100,100,0,100,0,0,99.0,5.0,100.0,100.0,100.0,100.0,56.99999999999999,26.0,85.0,62.0,100.0,100.0,100.0,0,0,100,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,52.0
52,100,75,0,100,100,0,0,100,65,0,100,100,100,100,0,100,75,0,100,100,100,3.0,14.000000000000002,100,0,0,100,0,0,98.0,2.0,100.0,100.0,100.0,0.0,100.0,63.0,10.0,100.0,100.0,100.0,90.0,100,0,0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,98.0
53,50,75,0,0,100,50,0,100,0,0,100,0,0,100,0,100,65,0,0,100,0,66.0,92.0,0,100,0,100,0,0,64.0,0.0,100.0,76.0,0.0,0.0,76.0,35.0,0.0,33.0,100.0,100.0,41.0,0,0,100,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,96.0
54,0,75,100,35,100,100,50,100,75,0,100,100,100,100,0,100,65,100,100,100,100,88.0,97.0,100,100,0,100,0,0,97.0,96.0,100.0,18.0,75.0,88.0,27.0,0.0,100.0,100.0,100.0,100.0,79.0,100,0,0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,26.0
55,75,75,0,0,100,50,0,100,35,0,100,35,100,100,0,100,65,0,100,100,100,0.0,4.0,0,100,0,0,0,0,56.00000000000001,89.0,100.0,48.0,56.99999999999999,48.0,100.0,50.0,100.0,43.0,100.0,100.0,100.0,0,0,0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,99.0
56,20,65,0,35,100,50,0,0,20,0,100,0,100,100,0,100,0,0,0,100,100,45.0,60.0,0,100,0,0,0,0,100.0,9.0,100.0,100.0,100.0,24.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,0,100,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,32.0
57,100,75,65,20,100,0,0,100,75,0,100,0,100,100,0,100,75,0,0,100,100,1.0,18.0,0,0,0,100,0,0,83.0,5.0,0.0,41.0,75.0,30.0,0.0,0.0,100.0,100.0,100.0,100.0,2.0,100,0,100,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,41.0
58,50,75,0,0,100,0,0,100,0,0,100,0,0,100,100,100,0,0,0,100,0,38.0,71.0,0,100,0,100,0,0,19.0,17.0,100.0,27.0,87.0,44.0,87.0,36.0,100.0,100.0,100.0,100.0,100.0,0,0,0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,56.0
59,0,0,100,100,100,75,100,100,75,100,100,0,100,100,0,100,100,0,100,100,0,28.999999999999996,82.0,0,100,0,100,0,0,45.0,52.0,100.0,37.0,12.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,100,0,0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,90.0
