,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,jsValidate,maxCookiesLength,minifiedJs,noRedirect,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,mainthreadWorkBreakdown,bootupTime,fontDisplay,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,domSize,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,legacyJavascript,totalByteWeight,noDocumentWrite,layoutShiftElements,usesPassiveEventListeners
59,0,0,100,100,100,75,100,100,75,100,100,0,100,100,0,100,100,0,100,100,0,29,82,0,100,0,100,0,0,45,52,100,37,12,30,100,100,100,100,100,100,88,100,0,0
60,0,75,100,0,100,100,0,100,65,0,100,0,100,100,0,100,100,100,100,0,100,99,100,100,100,0,0,0,0,72,16,100,100,100,100,100,100,100,100,100,100,100,100,0,100
61,20,75,0,0,100,0,0,100,0,0,100,35,0,100,0,35,0,0,0,100,0,27,61,0,0,0,100,0,0,90,42,87,39,46,35,100,42,87,100,100,87,91,100,0,0
62,75,75,0,0,100,50,0,100,0,0,100,0,0,100,0,20,0,0,0,100,100,17,44,0,0,0,100,0,0,100,0,19,100,0,0,100,24,0,100,100,100,16,100,0,0
63,75,75,0,0,100,0,0,0,20,0,100,0,0,100,100,100,35,0,0,100,0,24,61,0,0,0,0,0,0,11,14,100,100,57,32,100,100,100,100,100,100,100,0,0,0
64,100,75,50,0,100,100,0,50,35,0,100,100,75,100,100,100,20,0,0,100,0,13,31,0,0,0,0,0,0,49,32,45,100,88,34,100,58,100,100,100,100,100,100,0,100
65,0,0,100,100,100,100,100,50,100,0,100,0,100,100,0,100,100,0,100,100,0,6,56,0,0,0,100,0,0,14,0,0,0,77,0,0,0,0,0,0,100,0,100,0,0
66,0,75,0,0,0,75,0,100,20,0,100,0,75,100,0,100,20,0,0,100,100,2,15,0,100,0,100,0,0,40,68,100,100,56,0,74,46,100,100,100,48,13,0,0,0
67,75,75,0,35,100,75,0,100,35,0,100,0,0,100,0,100,35,0,0,100,0,0,7,0,0,0,0,0,0,49,0,0,100,65,15,100,0,100,100,100,100,0,0,0,0
68,20,75,0,0,100,0,0,50,0,0,100,0,0,100,0,100,20,0,0,100,100,56,90,0,100,0,100,0,0,4,90,88,32,87,25,100,88,100,0,100,100,99,100,0,0
69,0,75,100,100,100,50,0,100,100,50,100,0,100,100,0,100,100,0,100,100,0,5,46,0,0,0,100,0,0,92,17,100,45,43,48,100,0,100,100,100,100,30,100,0,100
70,0,75,0,0,0,100,0,100,35,0,100,0,100,100,0,100,20,50,0,100,100,0,11,0,0,0,100,0,0,61,0,12,0,88,2,46,0,48,66,100,100,0,0,0,0
71,50,75,0,35,100,50,0,50,35,0,100,0,0,100,0,100,35,0,0,100,0,1,19,0,0,0,100,0,0,0,75,0,44,27,0,100,0,100,100,100,87,0,100,0,100
72,100,75,65,0,100,0,0,100,35,0,100,20,75,100,0,100,100,50,0,100,100,0,8,0,0,0,100,0,0,0,13,44,0,42,0,87,15,100,100,100,100,7,0,0,0
73,0,0,75,100,100,50,0,100,75,0,100,0,100,100,0,100,75,75,0,100,0,19,71,0,100,0,100,0,0,25,54,86,100,43,26,75,0,100,48,100,100,7,100,0,0
74,0,65,0,0,100,0,0,0,0,0,100,0,0,100,0,100,0,75,0,100,100,100,100,100,0,0,0,0,0,94,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100
75,0,0,0,0,100,50,0,100,35,0,100,35,35,100,0,100,35,0,100,100,0,3,18,0,0,0,100,0,0,0,0,87,66,48,7,0,0,100,100,100,87,0,100,0,0
76,0,75,100,100,100,75,100,50,100,0,100,0,100,100,0,100,100,0,100,100,0,95,99,100,100,0,0,0,0,100,5,57,48,40,32,100,23,22,30,100,100,99,0,0,100
77,0,75,0,100,100,100,0,50,35,0,100,35,0,100,0,100,65,0,0,100,100,92,97,0,100,0,0,0,0,63,47,100,100,86,46,74,48,100,100,100,100,100,100,0,100
