,urlName,domSize,nbRequest,responsesSize,ecoIndex,grade,performance,accessibility,largestContentfulPaint,cumulativeLayoutShift,firstContentfulPaint,speedIndex,totalBlockingTime,interactive,addExpiresOrCacheControlHeaders,compressHttp,domainsNumber,dontResizeImageInBrowser,emptySrcTag,externalizeCss,externalizeJs,httpError,httpRequests,imageDownloadedNotDisplayed,jsValidate,maxCookiesLength,minifiedCss,minifiedJs,noCookieForStaticRessources,noRedirect,optimizeBitmapImages,optimizeSvg,plugins,printStyleSheet,socialNetworkButton,styleSheets,useETags,useStandardTypefaces,viewport,serverResponseTime,criticalRequestChains,mainthreadWorkBreakdown,bootupTime,usesRelPreload,fontDisplay,networkRtt,networkServerLatency,thirdPartySummary,thirdPartyFacades,lcpLazyLoaded,longTasks,nonCompositedAnimations,preloadLcpImage,usesLongCacheTtl,usesResponsiveImages,offscreenImages,unminifiedCss,unminifiedJavascript,unusedCssRules,unusedJavascript,usesOptimizedImages,modernImageFormats,usesTextCompression,usesHttp2,efficientAnimatedContent,duplicatedJavascript,legacyJavascript,totalByteWeight,noDocumentWrite,redirects,layoutShiftElements,usesPassiveEventListeners
23,http://www.1daymakeover.com,0.0,4,249,90,A,78,86,64,100,44,92,81,88,100,75,75,100,100,100,50,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
24,http://1energysystems.com,100.0,78,1433,50,D,45,98,5,100,5,34,75,21,75,75,0,20,100,0,0,100,35,100,0,100,0,0,100,0,100,100,100,0,100,0,0,0,100,100,0,100.0,98.0,0,100,0,0,100,0,0,0,0,100,100.0,100.0,100.0,100.0,100.0,100.0,45.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,0,100
25,http://www.1life.com,0.0,102,2716,35,E,22,93,3,100,7,16,12,3,0,75,0,35,100,0,0,50,20,100,0,100,100,35,100,0,100,100,100,0,100,100,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
26,http://1mind.com,95.0,65,827,66,B,47,100,2,100,76,15,66,23,100,75,35,100,100,0,0,100,35,100,0,100,0,100,100,75,100,100,100,0,100,100,75,0,100,100,0,19.0,43.0,0,100,0,0,0,0,0,0,0,100,8.0,87.0,74.0,100.0,100.0,74.0,20.0,100.0,87.0,87.0,100.0,100.0,100.0,100.0,100.0,100,42.0,0,0
27,http://www.1stdibs.com,53.0,209,1976,13,F,30,79,11,100,64,19,12,2,20,75,0,0,100,50,0,50,0,100,50,100,0,100,100,0,100,100,100,0,100,0,0,0,100,100,0,13.0,36.0,0,100,0,0,100,0,100,0,0,100,18.0,65.0,100.0,100.0,100.0,100.0,34.0,100.0,100.0,87.0,100.0,100.0,87.0,87.0,98.0,0,100.0,0,100
28,http://1worldonline.com,100.0,30,1968,55,C,15,70,0,59,0,2,18,1,0,75,0,0,100,0,50,50,65,50,0,100,0,35,100,75,100,100,100,0,100,65,75,100,100,100,0,100.0,98.0,0,100,0,0,0,0,0,0,0,100,100.0,100.0,100.0,100.0,100.0,100.0,45.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,0,100
29,http://2020gene.com,0.0,105,3526,28,E,19,94,7,12,9,7,44,7,75,75,0,35,100,0,0,100,20,100,0,100,0,0,100,0,100,100,100,0,100,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
30,http://www.20x200.com,100.0,130,3868,16,F,35,89,13,99,22,13,43,2,0,50,0,0,100,0,0,50,20,25,0,100,0,0,100,75,100,100,100,0,100,20,0,0,100,100,0,75.0,91.0,0,100,0,0,100,0,0,0,0,100,98.0,100.0,100.0,100.0,100.0,48.0,50.0,100.0,88.0,100.0,100.0,100.0,100.0,88.0,100.0,100,41.0,0,100
31,http://www.xxiicentury.com,100.0,14,950,78,A,52,97,2,39,26,80,98,60,100,0,35,100,100,100,20,100,75,100,0,100,0,0,100,75,100,100,100,0,100,75,0,0,100,100,0,28.000000000000004,59.0,0,100,0,0,0,0,100,0,0,100,25.0,88.0,100.0,100.0,100.0,67.0,27.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,0,100
32,http://23andme.com,100.0,76,1046,25,E,63,93,11,100,78,47,82,84,20,75,50,0,100,75,0,100,35,0,0,100,100,0,100,35,100,50,100,0,100,75,100,0,100,100,0,100.0,98.0,0,100,0,0,100,0,0,0,0,100,100.0,100.0,100.0,100.0,100.0,100.0,43.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,0,100
33,http://www.23press.com,100.0,71,1123,51,C,43,93,31,100,37,46,33,19,75,75,0,35,100,75,0,100,35,100,0,100,0,0,100,75,100,100,100,0,100,20,0,0,100,100,0,100.0,100.0,0,100,0,0,100,0,0,0,0,100,100.0,100.0,100.0,100.0,100.0,100.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,0,100
34,https://albatros-travel.com/,0.0,35,1001,53,C,70,79,11,100,45,92,100,87,0,0,50,0,100,0,0,100,50,50,0,100,0,0,100,100,100,100,100,0,100,35,0,100,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
35,http://www.kenyadreamholidays.com/,100.0,23,933,61,C,77,40,7,100,100,100,100,100,0,0,35,0,100,75,50,100,75,100,50,100,0,0,100,35,100,100,100,0,100,100,0,100,0,100,0,100.0,100.0,0,100,0,0,0,0,100,0,0,0,16.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,57.99999999999999,88.0,67.0,100.0,100.0,100.0,100.0,100,100.0,0,100
36,https://fts-travels.com/,86.0,107,2570,19,F,22,81,0,15,0,0,66,1,0,75,0,0,100,50,0,0,20,50,0,100,0,0,100,0,100,100,100,0,35,0,0,0,100,100,0,1.0,7.000000000000001,0,0,0,0,100,0,100,0,0,100,27.0,100.0,100.0,100.0,100.0,100.0,41.0,88.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,0,100.0,0,100
37,http://www.aimadventures.com/,45.0,12,423,79,A,92,80,69,100,100,100,100,100,0,0,100,100,100,75,100,100,75,100,100,100,0,0,100,100,100,100,100,0,100,100,0,100,100,0,0,29.0,82.0,0,0,0,0,100,0,100,0,0,100,52.0,100.0,37.0,56.99999999999999,56.99999999999999,12.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,100,100.0,0,0
38,https://www.nbitravel.com/,100.0,1,0,94,A,19,68,0,33,37,1,33,0,0,75,100,100,100,100,100,50,100,100,0,100,0,0,100,100,100,0,100,0,100,100,0,100,0,100,0,90.0,99.0,0,0,0,0,100,0,100,0,0,100,11.0,67.0,100.0,100.0,100.0,100.0,43.0,4.0,0.0,100.0,6.0,100.0,100.0,100.0,40.0,0,100.0,0,100
39,http://www.justcruisinplus.com/,0.0,43,1824,59,C,49,78,4,100,2,9,98,26,0,0,0,0,100,75,0,50,35,100,0,100,0,0,100,100,100,100,100,0,100,20,0,100,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
